   DEPT        CTEM       DCAL        DT      GR_EDTC      GTEM       ITT        RWA        SPHI       STIT       TENS
   2001.5000   147.7648     0.6714    53.4791    65.9181    96.6036     0.8480    -0.0031    -0.0295     0.0000  1193.0000
   2002.0000   147.7648     0.6714    53.6042    58.1584    96.6108     0.8480    -0.0031    -0.0279     0.0000  1202.0000
   2002.5000   147.7648     0.6714    54.2854    56.1283    96.6179     0.8479    -0.0031    -0.0197     0.0000  1195.0000
   2003.0000   147.7648     0.6645    54.5537    49.3308    96.6251     0.8479    -0.0031    -0.0166     0.0000  1195.0000
   2003.5000   147.7648     0.6523    54.1057    49.9205    96.6322     0.8479    -0.0031    -0.0219     0.0000  1195.0000
   2004.0000   147.7648     0.6592    52.8714    49.3511    96.6394     0.8478    -0.0031    -0.0370     0.0000  1195.0000
   2004.5000   147.7648     0.6456    60.9726    52.9004    96.6465     0.8478    -2.5961     0.0510     0.0000  1197.0000
   2005.0000   147.7648     0.6592    61.0619    60.1790    96.6537     0.8478    -2.6824     0.0518     0.0000  1187.0000
   2005.5000   147.7648     0.6653    61.3886    58.9991    96.6608     0.8478    -3.0075     0.0549     0.0000  1195.0000
   2006.0000   147.7648     0.6582    61.9668    58.9991    96.6679     0.8477    -3.6190     0.0602     0.0000  1207.0000
   2006.5000   147.7648     0.6592    62.0778    50.6807    96.6751     0.8477    -3.7416     0.0612     0.0000  1198.0000
   2007.0000   147.7648     0.6729    62.1623    56.0198    96.6822     0.8477    -3.8358     0.0620     0.0000  1197.0000
   2007.5000   147.7648     0.6722    61.7124    57.6565    96.6894     0.8476    -3.3444     0.0579     0.0000  1200.0000
   2008.0000   147.7648     0.6790    61.6242    59.6972    96.6965     0.8476    -3.2513     0.0570     0.0000  1187.0000
   2008.5000   147.7648     0.6592    61.7218    50.3390    96.7037     0.8476    -3.3544     0.0579     0.0000  1195.0000
   2009.0000   147.7648     0.6781    62.2135    47.7460    96.7108     0.8475    -3.8934     0.0624     0.0000  1202.0000
   2009.5000   147.7648     0.6849    62.2825    45.7054    96.7180     0.8475    -3.9717     0.0630     0.0000  1205.0000
   2010.0000   147.7648     0.6790    63.1372    49.8192    96.7251     0.8475    -4.9879     0.0707     0.0000  1200.0000
   2010.5000   147.7648     0.6722    63.8219    45.7054    96.7323     0.8475    -5.8629     0.0766     0.0000  1198.0000
   2011.0000   147.7648     0.6851    63.4742    49.8645    96.7394     0.8474    -5.4121     0.0736     0.0000  1193.0000
   2011.5000   147.7648     0.6792    63.2980    51.4203    96.7465     0.8474    -5.1887     0.0721     0.0000  1200.0000
   2012.0000   147.7648     0.6597    63.3206    61.7573    96.7537     0.8474    -5.2171     0.0723     0.0000  1200.0000
   2012.5000   147.7648     0.6519    63.4536    65.3966    96.7608     0.8473    -5.3858     0.0734     0.0000  1195.0000
   2013.0000   147.7648     0.6460    63.1873    62.8464    96.7680     0.8473    -5.0502     0.0711     0.0000  1187.0000
   2013.5000   147.7648     0.6460    62.8027    57.0953    96.7751     0.8473    -4.5797     0.0677     0.0000  1196.0000
   2014.0000   147.7648     0.6392    61.7886    55.0158    96.7823     0.8472    -3.4259     0.0586     0.0000  1200.0000
   2014.5000   147.7648     0.6391    53.4423    53.9760    96.7894     0.8472    -0.0031    -0.0299     0.0000  1188.0000
   2015.0000   147.7648     0.6314    53.1693    51.9067    96.7966     0.8472    -0.0031    -0.0333     0.0000  1176.0000
   2015.5000   147.7648     0.6291    53.8418    53.5185    96.8037     0.8471    -0.0031    -0.0251     0.0000  1202.0000
   2016.0000   147.7648     0.6169    54.3214    54.5155    96.8109     0.8471    -0.0031    -0.0193     0.0000  1193.0000
   2016.5000   147.7648     0.6236    54.7044    53.0386    96.8180     0.8471    -0.0031    -0.0148     0.0000  1192.0000
   2017.0000   147.7648     0.6101    54.8777    49.3472    96.8251     0.8471    -0.0031    -0.0128     0.0000  1186.0000
   2017.5000   147.7648     0.6101    55.3546    53.4960    96.8323     0.8470    -0.0031    -0.0073     0.0000  1184.0000
   2018.0000   147.7648     0.6042    56.2640    53.9770    96.8394     0.8470    -0.0086     0.0029     0.0000  1213.0000
   2018.5000   147.7648     0.6078    74.9821    56.0566    96.8466     0.8470   -25.0154     0.1582     0.0000  1212.0000
   2019.0000   147.7648     0.5618    75.4707    49.8710    96.8537     0.8469   -25.9802     0.1612     0.0000  1181.0000
   2019.5000   147.7648     0.5753    94.9522    52.4640    96.8609     0.8469   -65.6883     0.2564     0.0000  1193.0000
   2020.0000   147.7648     0.5409    93.2500    50.8602    96.8680     0.8469   -62.2858     0.2497     0.0000  1223.0000
   2020.5000   147.7648     0.6700   190.7405    56.0592    96.8752     0.8468  -194.7802     0.4415     0.0000  1200.0000
   2021.0000   147.7648     0.6766   227.5225    56.1046    96.8823     0.8467  -221.8338     0.4712     0.0000  1198.0000
   2021.5000   147.7648     0.6827   226.9829    60.2534    96.8895     0.8466  -221.4896     0.4708     0.0000  1218.0000
   2022.0000   147.7648     0.6834   201.1993    56.6141    96.8966     0.8465  -203.2873     0.4510     0.0000  1202.0000
   2022.5000   147.7648     0.6827   197.7843    58.6431    96.9037     0.8464  -200.5889     0.4480     0.0000  1192.0000
   2023.0000   147.7648     0.6827   283.1912    57.6578    96.9109     0.8463  -251.2220     0.5014     0.0000  1215.0000
   2023.5000   147.7648     0.6895   183.6845    59.7374    96.9180     0.8461  -188.6103     0.4345     0.0000  1228.0000
   2024.0000   147.7648     0.6953   183.6845    57.6630    96.9252     0.8461  -188.6103     0.4345     0.0000  1187.0000
   2024.5000   147.7648     0.7133    84.8903    52.4251    96.9323     0.8460   -45.2087     0.2127     0.0000  1207.0000
   2025.0000   147.7648     0.7193   109.1821    49.8256    96.9395     0.8459   -92.6109     0.3044     0.0000  1243.0000
   2025.5000   147.7648     0.7316   108.5362    45.7118    96.9466     0.8459   -91.4539     0.3025     0.0000  1208.0000
   2026.0000   147.7648     0.8708   172.2295    46.2304    96.9538     0.8458  -177.7673     0.4218     0.0000  1190.0000
   2026.5000   147.7648     2.9101   180.6395    53.9693    96.9609     0.8457  -185.8319     0.4312     0.0000  1218.0000
   2027.0000   147.7648     3.7380   170.6889    68.5264    96.9681     0.8456  -176.2245     0.4199     0.0000  1247.0000
   2027.5000   147.7648     2.6818   184.8169    81.0441    96.9752     0.8455  -189.6254     0.4356     0.0000  1197.0000
   2028.0000   147.7648     2.3509   205.3330    89.7790    96.9823     0.8455  -206.4564     0.4545     0.0000  1136.0000
   2028.5000   147.7648     2.2449   203.8743    91.3387    96.9895     0.8454  -205.3500     0.4533     0.0000  1220.0000
   2029.0000   147.7648     2.2291   171.0426    84.0602    96.9966     0.8453  -176.5806     0.4204     0.0000  1334.0000
   2029.5000   147.7648     2.3276   167.0843    85.1786    97.0038     0.8452  -172.5314     0.4155     0.0000  1195.0000
   2030.0000   147.7648     2.2605   161.5127    85.6985    97.0109     0.8451  -166.5828     0.4083     0.0000  1035.0000
   2030.5000   147.7648     2.2764   162.0690    97.5732    97.0181     0.8450  -167.1904     0.4090     0.0000  1205.0000
   2031.0000   147.7648     1.9181   161.4849    91.9386    97.0252     0.8449  -166.5525     0.4083     0.0000  1445.0000
   2031.5000   147.7648     1.7792   162.1669    89.3391    97.0324     0.8448  -167.2970     0.4092     0.0000  1369.0000
   2032.0000   147.7648     1.8862   162.3068    80.0043    97.0395     0.8448  -167.4491     0.4094     0.0000  1181.0000
   2032.5000   147.7648     2.0911   163.2488    83.0459    97.0467     0.8447  -168.4687     0.4106     0.0000  1197.0000
   2033.0000   147.7648     2.3315   163.2074    85.6454    97.0538     0.8446  -168.4240     0.4105     0.0000  1231.0000
   2033.5000   147.7648     2.1589   162.2543    89.8642    97.0609     0.8445  -167.3921     0.4093     0.0000  1251.0000
   2034.0000   147.7648     2.1517   161.8072    92.8907    97.0681     0.8444  -166.9049     0.4087     0.0000  1184.0000
   2034.5000   147.7648     2.1259   161.4473    99.1294    97.0752     0.8444  -166.5113     0.4082     0.0000  1208.0000
   2035.0000   147.7648     2.1021   162.2196   103.2886    97.0824     0.8443  -167.3543     0.4092     0.0000  1221.0000
   2035.5000   147.7648     2.8012   162.4671   102.4195    97.0895     0.8442  -167.6232     0.4096     0.0000  1192.0000
   2036.0000   147.7648     2.1277   162.7457    92.9926    97.0967     0.8441  -167.9252     0.4099     0.0000  1185.0000
   2036.5000   147.7648     2.1296   162.7404    88.7635    97.1038     0.8440  -167.9195     0.4099     0.0000  1190.0000
   2037.0000   147.7648     2.3718   162.9852    83.0446    97.1110     0.8439  -168.1842     0.4103     0.0000  1200.0000
   2037.5000   147.7648     1.9820   163.0217    88.3123    97.1181     0.8439  -168.2236     0.4103     0.0000  1191.0000
   2038.0000   147.7648     2.2465   161.7200    88.3123    97.1253     0.8438  -166.8096     0.4086     0.0000  1220.0000
   2038.5000   147.7648     1.8798   162.0053    92.3924    97.1324     0.8437  -167.1210     0.4090     0.0000  1192.0000
   2039.0000   147.7648     2.1164   160.1632    89.2730    97.1395     0.8436  -165.0963     0.4065     0.0000  1152.0000
   2039.5000   147.7648     1.9104   159.2657    86.2236    97.1467     0.8435  -164.0975     0.4052     0.0000  1207.0000
   2040.0000   147.7648     2.4411   159.4834    83.6306    97.1538     0.8435  -164.3405     0.4055     0.0000  1227.0000
   2040.5000   147.7648     2.3463   158.0621    84.0753    97.1610     0.8434  -162.7450     0.4036     0.0000  1171.0000
   2041.0000   147.7648     2.3950   157.1836    85.1151    97.1681     0.8433  -161.7484     0.4023     0.0000  1206.0000
   2041.5000   147.7648     2.8014   157.8565    84.6678    97.1753     0.8432  -162.5125     0.4033     0.0000  1188.0000
   2042.0000   147.7648     2.8007   157.1535    86.7422    97.1824     0.8431  -161.7141     0.4023     0.0000  1159.0000
   2042.5000   147.7648     2.3695   156.3681    84.0844    97.1896     0.8431  -160.8160     0.4012     0.0000  1183.0000
   2043.0000   147.7648     2.4903   156.1456    89.8033    97.1967     0.8430  -160.5603     0.4009     0.0000  1220.0000
   2043.5000   147.7648     2.4144   153.7632    82.6051    97.2039     0.8429  -157.7902     0.3974     0.0000  1190.0000
   2044.0000   147.7648     2.5829   151.4803    93.4106    97.2110     0.8428  -155.0778     0.3939     0.0000  1195.0000
   2044.5000   147.7648     2.7020   149.5982    91.8509    97.2182     0.8428  -152.7976     0.3910     0.0000  1205.0000
   2045.0000   147.7648     2.4117   149.7590    92.8907    97.2253     0.8427  -152.9939     0.3913     0.0000  1197.0000
   2045.5000   147.7648     2.4917   148.3770    89.3456    97.2324     0.8426  -151.2965     0.3891     0.0000  1203.0000
   2046.0000   147.7648     2.6494   147.5196    79.4676    97.2396     0.8425  -150.2322     0.3877     0.0000  1218.0000
   2046.5000   147.7648     2.6157   147.5639    81.9957    97.2467     0.8425  -150.2873     0.3878     0.0000  1200.0000
   2047.0000   147.7648     2.8606   145.5572    77.3932    97.2539     0.8424  -147.7637     0.3845     0.0000  1188.0000
   2047.5000   147.7648     2.7911   145.2219    81.0324    97.2610     0.8423  -147.3374     0.3840     0.0000  1181.0000
   2048.0000   147.7648     2.6591   148.3583    79.9952    97.2682     0.8422  -151.2734     0.3891     0.0000  1205.0000
   2048.5000   147.7648     2.4900   151.7458    87.1908    97.2753     0.8422  -155.3962     0.3944     0.0000  1185.0000
   2049.0000   147.7648     2.8636   154.4851    90.8301    97.2825     0.8421  -158.6361     0.3984     0.0000  1192.0000
   2049.5000   147.7648     2.6525   157.8924   100.2570    97.2896     0.8420  -162.5531     0.4033     0.0000  1192.0000
   2050.0000   147.7648     2.5673   159.2742    98.7011    97.2968     0.8419  -164.1069     0.4053     0.0000  1192.0000
   2050.5000   147.7648     2.4702   159.8371    97.0702    97.3039     0.8419  -164.7343     0.4060     0.0000  1198.0000
   2051.0000   147.7648     2.2962   160.0573    92.3911    97.3110     0.8418  -164.9788     0.4063     0.0000  1195.0000
   2051.5000   147.7648     2.3650   159.8715    90.3906    97.3182     0.8417  -164.7726     0.4061     0.0000  1213.0000
   2052.0000   147.7648     2.5195   157.4974    87.7976    97.3253     0.8416  -162.1053     0.4028     0.0000  1210.0000
   2052.5000   147.7648     2.4724   157.0033    80.9754    97.3325     0.8415  -161.5429     0.4021     0.0000  1166.0000
   2053.0000   147.7648     2.7041   157.2555    84.6147    97.3396     0.8415  -161.8303     0.4024     0.0000  1184.0000
   2053.5000   147.7648     2.2863   158.4807    98.1968    97.3468     0.8414  -163.2171     0.4042     0.0000  1231.0000
   2054.0000   147.7648     2.6115   160.0807   102.3456    97.3539     0.8413  -165.0049     0.4064     0.0000  1202.0000
   2054.5000   147.7648     2.4882   159.9128    98.1138    97.3611     0.8412  -164.8184     0.4061     0.0000  1195.0000
   2055.0000   147.7648     2.9959   157.6735    90.2864    97.3682     0.8411  -162.3052     0.4030     0.0000  1200.0000
   2055.5000   147.7648     2.5991   155.1744    92.2821    97.3754     0.8411  -159.4385     0.3994     0.0000  1215.0000
   2056.0000   147.7648     2.6581   155.0673    89.7552    97.3825     0.8410  -159.3142     0.3993     0.0000  1215.0000
   2056.5000   147.7648     2.8343   154.6759    86.6648    97.3896     0.8409  -158.8587     0.3987     0.0000  1202.0000
   2057.0000   147.7648     2.2626   155.2436    82.0090    97.3968     0.8408  -159.5188     0.3995     0.0000  1220.0000
   2057.5000   147.7648     2.3951   155.6089    86.7663    97.4039     0.8408  -159.9417     0.4001     0.0000  1231.0000
   2058.0000   147.7648     3.0388   154.1203    83.7765    97.4111     0.8407  -158.2094     0.3979     0.0000  1202.0000
   2058.5000   147.7648     3.5713   156.4337    88.9496    97.4182     0.8406  -160.8913     0.4013     0.0000  1215.0000
   2059.0000   147.7648     3.4750   157.9739    83.1525    97.4254     0.8405  -162.6454     0.4034     0.0000  1248.0000
   2059.5000   147.7648     2.7629   162.2453    86.1423    97.4325     0.8404  -167.3823     0.4093     0.0000  1210.0000
   2060.0000   147.7648     2.5911   163.6239    85.1077    97.4397     0.8404  -168.8722     0.4111     0.0000  1190.0000
   2060.5000   147.7648     2.9254   161.7336    89.8624    97.4468     0.8403  -166.8245     0.4086     0.0000  1222.0000
   2061.0000   147.7648     2.9085   160.1165    88.7539    97.4540     0.8402  -165.0445     0.4064     0.0000  1253.0000
