DEPT,DT
2080.5,28.781259461375782
2081.0,28.72037696917377
2081.5,28.760694476971736
2082.0,28.431511984769713
2082.5,28.154129492567705
2083.0,28.75034700036568
2083.5,28.461664508163636
2084.0,28.48998201596163
2084.5,29.34009952375959
2085.0,29.373817031557564
2085.5,27.300234539355557
2086.0,25.79135204715351
2086.5,24.177569554951504
2087.0,23.76388706274949
2087.5,25.292504570547464
2088.0,27.033922078345427
2088.5,28.46693958614341
2089.0,29.287957093941372
2089.5,29.11437460173937
2090.0,29.512492109537334
2090.5,29.894309617335296
2091.0,30.100927125133296
2091.5,30.510744632931278
2092.0,30.764062140729266
2092.5,31.73207964852722
2093.0,32.5202971563252
2093.5,32.15161466412317
2094.0,31.87213217192115
2094.5,31.106749679719115
2095.0,30.318667187517093
2095.5,29.860684695315115
2096.0,28.617402203113073
2096.5,27.60841971091105
2097.0,27.023637218709013
2097.5,26.086654726506993
2098.0,25.84427223430498
2098.5,24.757589742102937
2099.0,23.64350724990092
2099.5,22.73792475769889
2100.0,22.39204226549691
2100.5,23.25975977329486
2101.0,23.79567728109285
2101.5,23.508894788890814
2102.0,22.3307122966888
2102.5,20.156029804486764
2103.0,19.073747312284752
2103.5,19.030664820082706
2104.0,20.95938232788069
2104.5,23.53869983567867
2105.0,24.46981734347665
2105.5,24.93613485127463
2106.0,24.86125235907261
2106.5,24.434369866870583
2107.0,24.219787374668556
2107.5,23.79690488246655
2108.0,24.762822390264517
2108.5,25.596339898062496
2109.0,27.31015740586045
2109.5,27.91287491365844
2110.0,27.944592421456434
2110.5,27.06740992925441
2111.0,25.959927437052386
2111.5,24.383544944850343
2112.0,23.87426245264834
2112.5,24.275379960446315
2113.0,24.679397468244275
2113.5,24.89261497604224
2114.0,25.107732483840238
2114.5,24.175649991638238
2115.0,24.1464674994362
2115.5,24.12678500723419
2116.0,24.145602515032152
2116.5,24.49392002283014
2117.0,24.43343753062811
2117.5,25.13165503842606
2118.0,25.442472546224053
2118.5,26.446390054022032
2119.0,27.322507561820032
2119.5,26.285925069617974
2120.0,25.310642577415962
2120.5,24.27146008521393
2121.0,24.037877593011928
2121.5,24.065095100809884
2122.0,24.39881260860787
2122.5,24.03863011640584
2123.0,23.75284762420381
2123.5,24.76596513200178
2124.0,25.430682639799755
2124.5,27.271500147597777
2125.0,28.08281765539573
2125.5,27.19243516319372
2126.0,27.58725267099169
2126.5,25.676170178789647
2127.0,24.378887686587632
2127.5,23.325905194385598
2128.0,23.899122702183575
2128.5,23.81274020998157
2129.0,23.41635771777956
2129.5,22.248275225577544
2130.0,19.698792733375512
2130.5,19.53911024117349
2131.0,20.585527748971458
2131.5,22.703245256769435
2132.0,25.29006276456741
2132.5,25.532480272365376
2133.0,25.43689778016335
2133.5,25.408715287961343
2134.0,25.001132795759332
2134.5,25.69615030355729
2135.0,25.461767811355287
2135.5,25.335685319153242
2136.0,25.937602826951235
2136.5,24.815420334749206
2137.0,24.42163784254717
2137.5,23.788355350345142
2138.0,24.614572858143106
2138.5,25.470090365941104
2139.0,26.477307873739107
2139.5,26.08862538153707
2140.0,25.04144288933503
2140.5,23.850260397133013
2141.0,22.01247790493099
2141.5,21.67769541272898
2142.0,20.86631292052695
2142.5,19.646030428324906
2143.0,17.82644793612289
2143.5,14.331265443920898
2144.0,12.948382951718855
2144.5,14.202600459516844
2145.0,15.007717967314818
2145.5,13.746735475112786
2146.0,9.647852982910763
2146.5,6.214570490708724
2147.0,5.991187998506717
2147.5,8.22120550630467
2148.0,14.231323014102685
2148.5,17.59334052190067
2149.0,19.42335802969862
2149.5,19.857875537496597
2150.0,17.75439304529459
